The Hub,,2696,615,
The Hub Food Services,,2746,616,
The Ladle,2000,1730,660,
Tim Hortons,2000,1394,538,
Tourism Policy & Research,8000,2254,864,
Town Square,,2403,680,
Townhouse Complex,,381,789,
Townhouse Complex,,540,678,
Travel Cuts,,2586,620,
Triple O's by White Spot,2000,1912,584,
UniverCity Childcare Facility,,2769,389,
University Advancement,2000,2166,538,
University Highlands Elementary School,,3932,500,
University Industry Liaison Office,200,2212,534,
VB Lot,,2695,703,
VC Lot,,2206,342,
Visitor Parking,,1127,576,
VN Lot,,1352,443,
VP - Academic,3000,2130,546,
VP - Advancement,2000,2131,546,
VP - Financial Services & Admin,3000,2132,546,
VP - Research,3000,2133,546,
VP - University Relations,3000,2134,546,
W.A.C. Bennet Library,,1684,522,
Water Tower Building,,2872,303,
West Gym,,1207,644,
West Mall Centre,,1360,534,
Wildlife Ecology,8000,1958,754,
Women's Centre,3000,1590,632,
Women's Studies,5000,2052,604,
Writing Intensive Learning Office,7000,2038,418,
